"Ntsb_No","Event_Type","Mkey","Event_Date","City","State","Country","Report_No","N","Has_Safety_Rec","Report_Type","Original_Publish_Date","Highest_Injury_Level","Fatal_Injury_Count","Serious_Injury_Count","Minor_Injury_Count","Probable_Cause","Event_ID","Latitude","Longitude","Make","Model","AirCraft_Category","Airport_ID","Airport_Name","Amateur_Built","Number_Of_Engines","Scheduled","Purpose_Of_Flight","FAR","AirCraft_Damage","Weather_Condition","Operator","Report_Status","Rep_Gen_Flag","Docket_Url","Docket_Publish_Date","event_year","operator_type","sms_keywords"
"DCA24FA002","ACC","193196",2023-10-04,"Chattanooga","Tennessee","United States",NA,"N977FD","TRUE","DirectorBrief","2025-05-29T04:00:00Z","None","0","0","0","The failure of the alternate gear extension system, which prevented the landing gear from being lowered. The cause of the system failure was a broken wire, due to tensile overload, between the alternate gear extend switch and the alternate extension power pack (AEPP), preventing the AEPP from energizing and supplying hydraulic fluid to the door lock release actuators for the nose landing gear and main landing gear. Contributing to the accident was the loss of the left hydraulic system due to a ruptured left main gear door actuator hose from fatigue, which prevented normal landing gear operation.",NA,"35.04","-85.2","BOEING","757-236","AIR","CHA","Chattanooga Metropolitan Airport","FALSE","2","NSCH",NA,"121","Substantial","VMC","FEDERAL EXPRESS CORP","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193196","2025-02-14 19:00:00",2023,"Commercial","Technical"
"DCA23LA468","ACC","193204",2023-09-30,"Denver","Colorado","United States",NA,"N37560","FALSE","DirectorBrief","2025-02-26T05:00:00Z","None","0","0","0","Overheated brakes due to the extended taxi at a higher power setting in an attempt to burn off fuel to achieve the proper takeoff weight that resulted in a wheel fire during takeoff.",NA,"39.85","-104.67","BOEING","737-9","AIR","KDEN","Denver International","FALSE","2","SCHD",NA,"121","Substantial","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193204","2025-02-26 19:00:00",2023,"Commercial","Other"
"CEN23LA403","ACC","193022",2023-08-21,"Wheeling","Illinois","United States",NA,"N39TT","FALSE","DirectorBrief","2025-03-05T05:00:00Z","None","0","0","0","A loss of braking effectiveness during landing for reasons that could not be determined, which resulted in a runway excursion.",NA,"42.12","-87.9","ISRAEL AIRCRAFT INDUSTRIES","1125 WESTWIND ASTRA","AIR","PWK","CHICAGO EXEC","FALSE","2",NA,"POSI","91","Substantial","VMC","ASTRA053 LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193022","2025-03-05 19:00:00",2023,"Other","Operational"
"DCA23FA417","ACC","192903",2023-08-20,"Santa Ana","California","United States",NA,"N516AS","FALSE","DirectorBrief","2025-05-22T04:00:00Z","None","0","0","0","Maintenance personnel’s excessive grinding of the left main landing gear’s aft trunnion pin during machining, which imparted heat damage to the base metal and led to the fatigue cracking that caused the pin to fracture during landing.",NA,"33.68","-117.87","BOEING","737-890","AIR","KSNA","John Wayne/Orange County Airport","FALSE","2","SCHD",NA,"121","Substantial","IMC","Alaska Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192903","2025-05-22 18:00:00",2023,"Commercial","Technical"
"DCA23LA384","ACC","192744",2023-07-29,"Houston","Texas","United States",NA,"N641UA","FALSE","DirectorBrief","2025-01-16T05:00:00Z","None","0","0","0","The first officer’s improper control inputs after the airplane touched down. Contributing to the severity of the damage was the flight crew’s lack of recognition that the speedbrakes were not armed, which led to their delayed deployment.",NA,"29.98","-95.34","BOEING","767-322","AIR","IAH","GEORGE BUSH INTCNTL/HOUSTON","FALSE","2","SCHD",NA,"121","Substantial","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192744","2025-01-16 19:00:00",2023,"Commercial","Other"
"ENG23LA031","INC","192493",2023-06-28,"Newark","New Jersey","United States",NA,"N37516","FALSE","DirectorBrief","2025-01-29T05:00:00Z","None","0","0","0","A No. 1 (left) engine fire due a fuel leak that originated from the fuel nozzle 17 b-nut connection that was not properly torqued in accordance with the aircraft maintenance manual procedure.",NA,"40.69","-74.17","BOEING","737-9","AIR","EWR","NEWARK LIBERTY INTL","FALSE","2","SCHD",NA,"121","Minor","Unknown","United Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192493","2025-01-29 05:30:00",2023,"Commercial","Human Factors"
"DCA23FA339","ACC","192485",2023-06-28,"Charlotte","North Carolina","United States",NA,"N955AT","FALSE","DirectorBrief","2025-05-22T04:00:00Z","None","0","0","0","A fatigue fracture of the upper lock link that initiated along scratch features on the lower surface at the parting line of the forged aluminum component. Contributing to the accident was the overhaul facilities noncompliance with Service Bulletin 717-32-002.",NA,"35.22","-80.97","BOEING","717-200","AIR","CLT","CHARLOTTE/DOUGLAS INTL","FALSE","2","SCHD",NA,"121","Substantial","VMC","Delta Air Lines Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192485","2025-05-22 18:00:00",2023,"Other","Operational"
"ENG23LA030","INC","192429",2023-06-17,"Sioux City","Iowa","United States",NA,"N926TT","FALSE","DirectorBrief","2024-07-31T04:00:00Z","None","0","0","0","A No. 2 (right) engine failure due to a spinner fairing separation and subsequent impact with the fan blades that resulted in a midspan fracture of one fan blade. The spinner fairing separated as a result of a fatigue crack that originated from the heat affected zone of a tack weld that secured a spacer to the aft side of the fairing. Contributing to the incident was inadequate spinner fairing inspection procedures that did not require removal of the spinner fairing to inspect the aft side for earlier detection of crack indications.",NA,"42.4","-96.38","GULFSTREAM AEROSPACE","G-IV","AIR",NA,NA,"FALSE","2","NSCH","UNK","135","Minor","VMC","Planet 9 Private Air, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192429","2024-07-31 19:00:00",2023,"Private","Human Factors"
"ERA23LA261","ACC","192331",2023-06-06,"Panama City","Florida","United States",NA,"N87RT","FALSE","DirectorBrief","2025-07-08T04:00:00Z","None","0","0","0","The flight crew’s failure to appropriately configure the airplane for landing, which resulted in a failed attempt to utilize the thrust reversers during landing and the inability to stop the airplane using its brakes due to increased forward thrust. Contributing to the accident was the flight crew’s failure to utilize the appropriate checklist for the thrust reverser equipped airplane.",NA,"30.36","-85.8","DASSAULT-BREGUET","FALCON 10","AIR","ECP","Northwest Florida Beaches International","FALSE","2",NA,"PERS","91","Substantial","VMC","Aviation Development Group","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192331","2025-07-03 17:00:00",2023,"Other","Human Factors"
"DCA23LA278","ACC","135369",2023-05-05,"Charlotte","North Carolina","United States",NA,"N921US","FALSE","DirectorBrief","2023-07-18T04:00:00Z","None","0","0","0","The captain’s failure to maintain the appropriate airspeed and pitch attitude during landing which resulted in a tailstrike.",NA,"35.22","-80.95","AIRBUS","A321-231","AIR","CLT","CHARLOTTE/DOUGLAS INTL","FALSE","2","SCHD",NA,"121","Substantial","VMC","AMERICAN AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=135369","2024-03-27 18:00:00",2023,"Commercial","Technical"
"WPR23LA183","ACC","122573",2023-05-02,"Barnhart","Texas","United States",NA,"N343WT","FALSE","DirectorBrief","2025-02-26T05:00:00Z","None","0","0","0","A total loss of engine power due to water-contaminated fuel from an undetermined source.",NA,"31.36","-101.17","AERO VODOCHODY","L-39ZA","AIR",NA,NA,"FALSE","1",NA,"PERS","91","Substantial","VMC","PHANTOM PHLYERS LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=122573","2025-02-26 19:00:00",2023,"Other","Technical"
"WPR23LA167","OCC","107149",2023-04-23,"Page","Arizona","United States",NA,"N135SH","FALSE","DirectorBrief","2024-11-21T05:00:00Z","None","0","0","0","The fueler’s inadvertent addition of diesel exhaust fluid (DEF) to the FSII reservoir on the fuel truck, and its subsequent mixture with the JET A that was used to fuel the airplane, resulting in a total loss of power to the right engine and a partial loss of power to the left engine.",NA,"36.93","-111.45","GATES LEARJET CORP.","35A","AIR","PGA","PAGE MUNI","FALSE","2","NSCH","POSI","91","None","VMC","Medway Air Ambulance","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=107149","2024-11-21 18:00:00",2023,"Other","Technical"
"ERA23LA176","ACC","106991",2023-04-01,"Wall Township","New Jersey","United States",NA,"N85AV","FALSE","DirectorBrief","2023-06-29T04:00:00Z","None","0","0","0","The pilots’ loss of directional control while landing in gusting wind conditions which resulted in a runway excursion. Also contributing was the flight crew’s decision to land at an airport where there was a rapidly approaching severe thunderstorm.",NA,"40.18","-74.12","CESSNA","750","AIR","BLM","MONMOUTH EXECUTIVE AIRPORT","FALSE","2",NA,"POSI","91","Substantial","VMC","USAC Airways 693, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106991","2023-06-29 17:00:00",2023,"Other","Environmental"
"ERA23FA174","ACC","106984",2023-03-30,"Gulf of Mexico","Gulf of America","United States",NA,"N869AC","FALSE","DirectorBrief","2024-07-05T04:00:00Z","None","0","0","0","The separation of the left wing extension and winglet for reasons that could not be determined based on the available evidence.",NA,"28.18","-83.05","CESSNA","525B","AIR","TPA",NA,"FALSE","2",NA,"EXEC","91","Substantial","VMC","Allegis Corp","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106984","2024-04-01 13:00:00",2023,"Other","Other"
"CEN23LA148","ACC","106997",2023-03-27,"Oklahoma City","Oklahoma","United States",NA,"N550DW","FALSE","DirectorBrief","2023-06-29T04:00:00Z","None","0","0","0","The pilot’s improper landing flare, which resulted in a hard, bounced landing, runway excursion, and subsequent collision with a runway sign. Contributing to the accident was the pilot’s lack of experience in the airplane, the unstabilized approach, and inadequate crew resource management.",NA,"35.53","-97.65","CESSNA","550","AIR","PWA","WILEY POST","FALSE","2","NSCH","BUS","91","Substantial","VMC","XCEED MANAGEMENT GROUP LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106997","2023-06-29 17:00:00",2023,"Other","Operational"
"DCA23LA221","ACC","106964",2023-03-22,"Houston","Texas","United States",NA,"N1902U","FALSE","DirectorBrief","2023-06-16T04:00:00Z","None","0","0","0","The first officer's failure to maintain the correct airspeed and pitch attitude during landing which resulted in a tailstrike.",NA,"29.98","-95.31","AIRBUS","A320-232","AIR","IAH","GEORGE BUSH INTCNTL/HOUSTON","FALSE","2","SCHD",NA,"121","Substantial","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106964","2023-06-20 19:00:00",2023,"Commercial","Technical"
"DCA23LA185","INC","106779",2023-02-22,"Burbank","California","United States",NA,"N954LR, N619UX","FALSE","DirectorBrief","2025-02-27T05:00:00Z","None","0","0","0","The interruption of the local controller’s workflow due to the necessitated management of a go-around of a third airplane that was approaching a different runway.  Contributing to the incident was: 1) the controller’s decision to continue the landing of ASH5826, likely without a re-assessment of its distance from the departing SKW5326, after the interruption, and 2) the lack of surface detection equipment at the Bob Hope Airport to aid the controller with traffic management.",NA,"34.2","-118.36","BOMBARDIER INC, EMBRAER S A","CL-600-2D24, ERJ 170-200 LL","AIR,AIR","KBUR","Bob Hope Airport","FALSE,FALSE","2,2","SCHD",",","121121","None,None","VMC","MESA AIRLINES INC,SkyWest Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106779","2025-02-27 19:00:00",2023,"Commercial","Operational"
"CEN23LA112","ACC","106750",2023-02-17,"Houston","Texas","United States",NA,"N14QB","FALSE","DirectorBrief","2024-03-13T04:00:00Z","None","0","0","0","The pilot’s loss of directional control during landing which resulted in a runway excursion. Contributing to the accident was the pilot’s decision to land with a crosswind that exceeded the limitation for the airplane.",NA,"29.65","-95.28","HONDA AIRCRAFT CO LLC","HA-420","AIR","HOU","William Hobby Airport","FALSE","2","NSCH","PERS","91","Substantial","VMC",NA,"Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106750","2024-03-13 17:00:00",2023,"Other","Environmental"
"DCA23LA179","INC","106768",2023-02-16,"Sarasota","Florida","United States",NA,"N976NN, C-FJQH","FALSE","DirectorBrief","2025-02-26T05:00:00Z","None","0","0","0","The local controller’s failure to prioritize and properly monitor the runway and airport environment along with his erroneous assumption that ROU 1633 would depart from runway 14 before AAL2172 arrived to land on the same runway, which resulted in a loss of separation between both airplanes.",NA,"27.4","-82.55","BOEING, AIRBUS","737-823, 321","AIR,AIR","KSRQ","Sarasota- Bradenton  International","FALSE,FALSE","2,","SCHD",",","121129","None,None","VMC","AMERICAN AIRLINES INC,Air Canada Rouge","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106768","2025-02-26 19:00:00",2023,"Commercial","Technical"
"ERA23LA126","ACC","106733",2023-02-11,"Rochester","New York","United States",NA,"N600C","FALSE","DirectorBrief","2024-10-03T04:00:00Z","None","0","0","0","The pilots’ failure to attain a proper landing flare and touchdown point, which resulted in a hard landing short of the runway.",NA,"43.12","-77.67","GATES LEARJET CORP","55","AIR","ROC","Rochester International","FALSE","2","NSCH","PERS","91","Substantial","VMC",NA,"Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106733","2024-10-03 17:00:00",2023,"Other","Technical"
"CEN23LA104","ACC","106702",2023-02-08,"Waukesha","Wisconsin","United States",NA,"N426SJ","FALSE","DirectorBrief","2023-04-06T04:00:00Z","None","0","0","0","The pilot’s failure to maintain aircraft control during landing. Contributing to the accident was the pilot’s inadequate preflight inspection removal of the angle of attack vane cover.",NA,"43.04","-88.23","CIRRUS DESIGN CORP","SF50","AIR","UES","Waukesha County Airport","FALSE","1",NA,"PERS","91","Substantial","VMC",NA,"Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106702","2023-04-06 17:00:00",2023,"Other","Technical"
"DCA23FA149","INC","106680",2023-02-04,"Austin","Texas","United States","AIR2402","N7827A, N297FE","TRUE","Report","2024-06-24T04:00:00Z","None","0","0","0","the local controller’s incorrect assumption that the Southwest Airlines (SWA) airplane would depart from the runway before the Federal Express airplane arrived on the same runway, which resulted in a loss of separation between both airplanes. Contributing to the controller’s incorrect assumption were his expectation bias regarding the SWA airplane’s departure, his lack of situational awareness regarding the SWA airplane’s position when the flight crew requested takeoff clearance, and the air traffic control tower’s lack of training (before the incident) on low visibility operations. Contributing to the incident was the SWA flight crewmembers’ failure to account for the traffic that was on short final approach and to notify the controller that they would need additional time on the runway before the takeoff roll. Also contributing to the incident was the Federal Aviation Administration’s failure to require surface detection equipment at Austin-Bergstrom International Airport and direct alerting for flight crews.",NA,"30.2","-97.67","BOEING, BOEING","737-79P, 767-32LF","AIR,AIR","AUS","Austin-Bergstrom International Airport","FALSE,FALSE","2,2","SCHD",",","121121","None,None","IMC","SOUTHWEST AIRLINES CO,FEDERAL EXPRESS CORP","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106680","2023-11-29 22:00:00",2023,"Commercial","Human Factors"
"DCA23LA133","INC","106632",2023-01-23,"Honolulu","Hawaii","United States",NA,"N774UA, N145KA","FALSE","DirectorBrief","2025-02-26T05:00:00Z","None","0","0","0","The airport’s continued use of taxiway Kilo, despite an identified risk of pilots repeatedly failing to stop at a hold short line prior to two intersecting runways. Contributing were 1) the operator’s moving map display, which omitted a published restriction on the use of taxiway Kilo for widebody airplanes, 2) the Captain’s resulting inadvertent continuance through the hold-short line, and 3) the FAA’s delayed action to remediate the airport’s legacy design, which did not conform with current airport design standards.  .",NA,"21.32","-157.92","BOEING, CESSNA","777-222, 208B","AIR,AIR","HNL","Daniel K. Inouye International Airport","FALSE,FALSE","2,1","SCHD",",","121135","None,None","VMC","UNITED AIRLINES INC,KAMAKA AIR LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106632","2025-02-26 19:00:00",2023,"Commercial","Operational"
"DCA23LA125","INC","106577",2023-01-13,"Queens","New York","United States","AIR2401","N914DU, N754AN","TRUE","BoardBrief","2024-06-12T04:00:00Z","None","0","0","0","The American Airlines flight 106 (AAL106) crew’s surface navigation error due to distractions caused by their performance of concurrent operational tasks during taxi, which resulted in a loss of situational awareness. Contributing to the incident was the air traffic control tower team’s nondetection of the AAL106 crew’s deviation from taxi instructions while performing concurrent operational tasks; the timing of the runway status light system, which activated too late to prevent the AAL106 crew from crossing the runway hold short line; and American Airlines’ lack of adequate risk controls to prevent concurrent flight crew tasks from leading to distraction, loss of situational awareness, and deviation from an authorized taxi clearance. Reducing the severity of the incident, and likely preventing an accident, was the activation of the ASDE-X warning in the air traffic control tower and the local controller’s prompt cancellation of DAL1943’s takeoff clearance.",NA,"40.64","-73.78","BOEING, BOEING","737-900ER, 777-223","AIR,AIR","KJFK","John F. Kennedy International Airport","FALSE,FALSE","2,2","SCHD",",","121121","None,None","VMC","Delta Air Lines,American Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106577","2024-01-29 19:00:00",2023,"Commercial","Operational"
"DCA23LA114","ACC","106534",2023-01-02,"New York","New York","United States",NA,"N928XJ, EI-EJM","FALSE","DirectorBrief","2024-07-17T04:00:00Z","None","0","0","0","ITA Airways flight crew's incorrect evaluation of the clearance between their airplane and another airplane stopped on an adjoining taxiway.",NA,"40.64","-73.78","BOMBARDIER INC, AIRBUS","CL-600-2D24, A330","AIR,AIR","KJFK","John F. Kennedy International Airport","FALSE,FALSE","2,2","SCHD",",","121129","Substantial,Minor","VMC","Endeavor Airlines,Italia Trasporto Aereo Spa","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106534","2024-07-17 18:00:00",2023,"Commercial","Other"
"CEN23FA045","ACC","106361",2022-11-25,"Mount Comfort","Indiana","United States",NA,"N15VJ","FALSE","DirectorBrief","2025-02-20T05:00:00Z","None","0","0","0","The uncommanded activation of the CAPS autopilot mode due to corrosion of the system’s electrical components. Contributing to the accident was the pilot’s failure to identify the CAPS autopilot mode and promptly follow the procedures in the airplane flight manual.",NA,"39.83","-85.92","CIRRUS DESIGN CORP","SF50","AIR","MQJ","INDIANAPOLIS RGNL","FALSE","1","NSCH","POSI","91","Substantial","IMC","Verijet","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106361","2025-02-20 19:00:00",2022,"Commercial","Human Factors"
